airTemperature,cloudCover,humidity,precipitation,pressure,time,visibility,windSpeed,place
11.91,0,60.9,0,1010.74,2021-08-18T00:00:00+00:00,24.13,1.04,Srinagar
24.41,100,89.7,0.26,1006.03,2021-08-18T00:00:00+00:00,24,1.99,Mumbai
28.41,98.6,74,0,1005.68,2021-08-18T00:00:00+00:00,24.13,2.78,Chennai
19.81,100,91.4,0,1009.32,2021-08-18T00:00:00+00:00,24.13,3.49,Bangalore
21.61,100,95.2,2.38,1005.11,2021-08-18T00:00:00+00:00,6.94,6.74,Hyderabad
24.01,100,88.1,0.46,1003.89,2021-08-18T00:00:00+00:00,22.9,4.43,Bhopal
22.81,99,97,0,1003.76,2021-08-18T00:00:00+00:00,24.13,0.78,Ranchi
13.68,0,57.37,0,1010.93,2021-08-18T01:00:00+00:00,24.13,1.19,Srinagar
24.98,100,86.43,0.18,1006.53,2021-08-18T01:00:00+00:00,24.04,1.84,Mumbai
28.42,99.07,73.5,0.01,1006.23,2021-08-18T01:00:00+00:00,24.13,2.69,Chennai
20.48,99.13,87.43,0,1009.74,2021-08-18T01:00:00+00:00,24.13,4.11,Bangalore
21.55,100,94.73,1.68,1005.88,2021-08-18T01:00:00+00:00,12.67,6.06,Hyderabad
24.12,99.3,87.87,0.31,1004.55,2021-08-18T01:00:00+00:00,23.31,4.6,Bhopal
23.72,96.3,92.77,0,1003.88,2021-08-18T01:00:00+00:00,24.13,1.09,Ranchi
15.46,0,53.83,0,1011.12,2021-08-18T02:00:00+00:00,24.13,1.35,Srinagar
25.56,100,83.17,0.09,1007.04,2021-08-18T02:00:00+00:00,24.09,1.68,Mumbai
28.43,99.53,73,0.01,1006.78,2021-08-18T02:00:00+00:00,24.13,2.59,Chennai
21.16,98.27,83.47,0,1010.16,2021-08-18T02:00:00+00:00,24.13,4.72,Bangalore
21.49,100,94.27,0.99,1006.65,2021-08-18T02:00:00+00:00,18.4,5.38,Hyderabad
24.23,98.6,87.63,0.15,1005.21,2021-08-18T02:00:00+00:00,23.72,4.76,Bhopal
24.63,93.6,88.53,0,1004,2021-08-18T02:00:00+00:00,24.13,1.39,Ranchi
17.24,0,50.3,0,1011.31,2021-08-18T03:00:00+00:00,24.14,1.5,Srinagar
26.14,100,79.9,0.01,1007.55,2021-08-18T03:00:00+00:00,24.14,1.52,Mumbai
28.44,100,72.5,0.02,1007.33,2021-08-18T03:00:00+00:00,24.14,2.5,Chennai
21.84,97.4,79.5,0,1010.58,2021-08-18T03:00:00+00:00,24.14,5.34,Bangalore
21.44,100,93.8,0.3,1007.41,2021-08-18T03:00:00+00:00,24.13,4.7,Hyderabad
24.34,97.9,87.4,0,1005.86,2021-08-18T03:00:00+00:00,24.14,4.93,Bhopal
25.54,90.9,84.3,0.01,1004.12,2021-08-18T03:00:00+00:00,24.14,1.7,Ranchi
19.2,0,47.1,0,1010.3,2021-08-18T04:00:00+00:00,24.13,1.68,Srinagar
26.2,100,79.37,0.15,1007.67,2021-08-18T04:00:00+00:00,24.13,2.04,Mumbai
28.7,100,72.1,0.03,1007.27,2021-08-18T04:00:00+00:00,24.13,2.86,Chennai
23.27,97.6,72.4,0.14,1010.21,2021-08-18T04:00:00+00:00,24.13,5.49,Bangalore
21.47,100,93.2,0.21,1007.4,2021-08-18T04:00:00+00:00,24.13,4.84,Hyderabad
24.57,98.6,86.33,0.08,1005.65,2021-08-18T04:00:00+00:00,24.13,4.65,Bhopal
26.87,93.9,78.27,0.58,1003.57,2021-08-18T04:00:00+00:00,24.13,1.89,Ranchi
21.17,0,43.9,0,1009.3,2021-08-18T05:00:00+00:00,24.13,1.86,Srinagar
26.27,100,78.83,0.29,1007.79,2021-08-18T05:00:00+00:00,24.13,2.56,Mumbai
28.97,100,71.7,0.04,1007.21,2021-08-18T05:00:00+00:00,24.13,3.21,Chennai
24.7,97.8,65.3,0.28,1009.85,2021-08-18T05:00:00+00:00,24.13,5.63,Bangalore
21.5,100,92.6,0.11,1007.39,2021-08-18T05:00:00+00:00,24.13,4.99,Hyderabad
24.8,99.3,85.27,0.15,1005.44,2021-08-18T05:00:00+00:00,24.13,4.36,Bhopal
28.2,96.9,72.23,1.15,1003.03,2021-08-18T05:00:00+00:00,24.13,2.07,Ranchi
23.14,0,40.7,0,1008.3,2021-08-18T06:00:00+00:00,24.13,2.04,Srinagar
26.34,100,78.3,0.43,1007.91,2021-08-18T06:00:00+00:00,24.13,3.08,Mumbai
29.24,100,71.3,0.05,1007.14,2021-08-18T06:00:00+00:00,24.13,3.57,Chennai
26.14,98,58.2,0.42,1009.48,2021-08-18T06:00:00+00:00,24.13,5.78,Bangalore
21.54,100,92,0.02,1007.37,2021-08-18T06:00:00+00:00,24.13,5.13,Hyderabad
25.04,100,84.2,0.23,1005.23,2021-08-18T06:00:00+00:00,24.13,4.08,Bhopal
